0.025	0.025	0.025	0.013	0.001	0.001
0.075	0.025	0.025	1.921	0.072006944	0.072006944
0.125	0.025	0.025	4.303	0.150920509	0.150920509
0.175	0.025	0.025	3.142	0.084528102	0.084528102
0.225	0.025	0.025	2.21	0.069231496	0.069231496
0.275	0.025	0.025	1.746	0.039217343	0.039217343
0.325	0.025	0.025	1.29	0.029154759	0.029154759
0.375	0.025	0.025	1.076	0.025495098	0.025495098
0.425	0.025	0.025	0.875	0.02236068	0.02236068
0.475	0.025	0.025	0.695	0.017492856	0.017492856
0.525	0.025	0.025	0.627	0.015811388	0.015811388
0.575	0.025	0.025	0.502	0.013601471	0.013601471
0.625	0.025	0.025	0.423	0.011401754	0.011401754
0.675	0.025	0.025	0.347	0.009219544	0.009219544
0.725	0.025	0.025	0.334	0.013038405	0.013038405
0.775	0.025	0.025	0.288	0.009899495	0.009899495
0.825	0.025	0.025	0.129	0.0117047	0.0117047
0.875	0.025	0.025	0.06	0.003605551	0.003605551
0.925	0.025	0.025	0.017	0.002236068	0.002236068
0.975	0.025	0.025	0.001	0	0
